LSOA11CD,primary_code,primary_type,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,OUT,MEU,HDU
E01000539,WAL,Warehouse/Park land,0,0.017217419,0.011297927,0,0.895511359,0,0,0.025634564,0.05033875,0,0,0,0,0,0,0,0
E01000556,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999977,0,0,0,0,0,0
E01000565,DRN,Dense residential neighbourhoods,0,0.165471398,0,0,0.024328286,0,0,0.268194642,0.533958539,0.008047142,0,0,0,0,0,0,0
E01000588,CRN,Connected residential neighbourhoods,0,0.117915965,0,0,0,0,0,0,0,0.882084014,0,0,0,0,0,0,0
E01000605,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.355475087,0.001664066,0.642860854,0,0,0,0,0,0
E01000606,DIS,Disconnected suburbia,0,0,0,0,0.000151562,0,0,0.779628227,0.22022019,0,0,0,0,0,0,0,0
E01000635,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.92357494,0,0.076425067,0,0,0,0,0,0
E01000636,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.327032103,0.572488644,0.100479254,0,0,0,0,0,0
E01000669,CRN,Connected residential neighbourhoods,0,0.055680032,0,0,0.07363702,0,0,0,0.072493345,0.798189587,0,0,0,0,0,0,0
E01000676,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0.000130897,0.985048062,0,0.014821068,0,0,0,0,0,0
E01000680,URB,Urban buffer,0.306503703,0.000542983,0,0,0,0,0.692953283,0,0,0,0,0,0,0,0,0,0
E01000704,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.999106877,0.000893085,0,0,0,0,0,0
E01000749,URB,Urban buffer,0.43277468,5.78E-05,0.002675771,0,0,0,0.564491725,0,0,0,0,0,0,0,0,0,0
E01000764,ACS,Accessible suburbia,0,0.764922044,0.101827133,0,0.044071685,0,0,0,0.089179141,0,0,0,0,0,0,0,0
E01000772,OPS,Open sprawl,0,0.379315309,0.575015796,0,0,0,0,0,0.045668868,0,0,0,0,0,0,0,0
E01000774,DIS,Disconnected suburbia,0,0.000416632,0.159129848,0,0,0.137872486,0,0.694738787,1.14E-05,0.007830803,0,0,0,0,0,0,0
E01000775,ACS,Accessible suburbia,0,0.830869723,0.166828334,0,0.001788731,0,0.000513208,0,0,0,0,0,0,0,0,0,0
E01000799,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.93742726,0.062572721,0,0,0,0,0,0
E01000805,CRN,Connected residential neighbourhoods,0,0.010671833,0,0,0,0,0,0,0.239332376,0.749978066,1.77E-05,0,0,0,0,0,0
E01000807,ACS,Accessible suburbia,0,0.997833012,0,0,0,0,0.002167013,0,0,0,0,0,0,0,0,0,0
E01000834,OPS,Open sprawl,0,0.243654999,0.75634503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000838,OPS,Open sprawl,0,0.257273794,0.733413449,0,0.00931276,0,0,0,0,0,0,0,0,0,0,0,0
E01000854,MEU,Metropolitan urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0.213954792,0,0,0.786045197,0
E01000866,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000024,0,0,0,0,0
E01000873,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.779596787,0.220403192,0,0,0,0,0
E01000875,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.441594393,0.558405621,0,0,0,0,0
E01000885,DUN,Dense urban neighbourhoods,0,0,0,0,0.002958744,0,0,0,0.241702055,0.091051357,0.659726147,0.004561718,0,0,0,0,0
E01000914,DIU,Concentrated urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0.955441973,0,0,0.044300015,0
E01000933,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.0223232,0.977676808,0,0,0,0,0
E01000934,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.976978607,0.023021357,0,0,0,0,0
E01000940,MEU,Metropolitan urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002316029,0,0.997683933,0
E01000946,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0.027510359,0,0.777105097,0,0.195384556,0
E01000960,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.121572723,0.878427309,0,0,0,0,0
E01000972,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000001,0,0,0,0,0
E01001066,WAL,Warehouse/Park land,0,0,0,0,0.940235328,0,0,0.05976471,0,0,0,0,0,0,0,0,0
E01001078,WAL,Warehouse/Park land,0,0,0,0,0.99998929,0,0,0,0,1.08E-05,0,0,0,0,0,0,0
E01001091,CRN,Connected residential neighbourhoods,0,0,0,0,0,0.122621817,0,0,0,0.864354597,0.013023601,0,0,0,0,0,0
E01001097,ACS,Accessible suburbia,0,0.639305129,0.085003636,0,0.006399134,0,0,0.024254698,0.00775077,0.237286613,0,0,0,0,0,0,0
E01001116,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,1.000000036,0,0,0,0,0,0
E01001122,WAL,Warehouse/Park land,0,0.366665548,0,0,0.625955048,0,0.007379424,0,0,0,0,0,0,0,0,0,0
E01001132,OPS,Open sprawl,0,0.070330553,0.907108245,0,0,0,0,0.008673741,0.01388744,0,0,0,0,0,0,0,0
E01001133,DRN,Dense residential neighbourhoods,0,0.311168251,0.284236604,0,0,0,0,0,0.398930509,0.005664631,0,0,0,0,0,0,0
E01001153,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0.103952281,0.89604769,0,0,0,0,0,0
E01001165,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.548685801,0,0.451314198,0,0,0,0,0,0
E01001177,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.020593981,0.979405984,0,0,0,0,0,0,0
E01001226,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.999999975,0,0,0,0,0,0,0,0
E01001246,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.768333732,0.231666248,0,0,0,0,0
E01001266,ACS,Accessible suburbia,0,0.988197856,0.005660889,0,0,0,0,0,0.005823251,0.00031801,0,0,0,0,0,0,0
E01001320,WAL,Warehouse/Park land,0,0,0,0,0.986527449,0,0,0.013472537,0,0,0,0,0,0,0,0,0
E01001326,WAL,Warehouse/Park land,0,0,0,0,0.991185779,0,0,0.008814244,0,0,0,0,0,0,0,0,0
E01001345,DRN,Dense residential neighbourhoods,0,0.067927518,0,0,0,0,0,0,0.932072512,0,0,0,0,0,0,0,0
E01001366,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0.001031771,0.997901235,0,0.001066991,0,0,0,0,0,0
E01001367,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.751577994,0,0.248422004,0,0,0,0,0,0
E01001371,DRN,Dense residential neighbourhoods,0,0,0.113635949,0,0.060220936,0,0,0.005925949,0.820217135,0,0,0,0,0,0,0,0
E01001397,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,1.00000003,0,0,0,0,0,0,0,0
E01001425,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.316054262,0,0.683945736,0,0,0,0,0,0
E01001434,DRN,Dense residential neighbourhoods,0,0,0.091595808,0,0,0,0,0,0.908404165,0,0,0,0,0,0,0,0
E01001440,DRN,Dense residential neighbourhoods,0,0,0.102755075,0,0,0,0,0,0.897244886,0,0,0,0,0,0,0,0
E01001457,OPS,Open sprawl,0,0.063167386,0.734003589,0,0,0,0,0.165400525,0.037428498,0,0,0,0,0,0,0,0
E01001471,OPS,Open sprawl,0,0,0.596273055,0,0.071418941,0,0,0.332307982,0,0,0,0,0,0,0,0,0
E01001485,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999972,0,0,0,0,0,0
E01001499,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.999999977,0,0,0,0,0,0,0,0
E01001585,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.408880955,0,0.591119054,0,0,0,0,0,0
E01001617,WAL,Warehouse/Park land,0,0.006403674,0,0,0.96296538,0,0,0.030630984,0,0,0,0,0,0,0,0,0
E01001619,WAL,Warehouse/Park land,0,0.204594941,5.23E-05,0,0.544548612,0,0,0.156442492,0,0.094361659,0,0,0,0,0,0,0
E01001629,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.602871618,0.397128352,0,0,0,0,0
E01001632,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.994341397,0.005658613,0,0,0,0,0
E01001679,DRN,Dense residential neighbourhoods,0,0,0.04397321,0,0.104549813,0,0,0.325691905,0.525785065,0,0,0,0,0,0,0,0
E01001685,DRN,Dense residential neighbourhoods,0,0.011076334,0,0,0.013660103,0,0,0,0.429335108,0.417779953,0.128148511,0,0,0,0,0,0
E01001750,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.99999996,0,0,0,0,0
E01001775,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000024,0,0,0,0,0
E01001791,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.795916932,0.204083105,0,0,0,0,0
E01001805,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.999999996,0,0,0,0,0
E01001819,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.931201248,0.068798748,0,0,0,0,0
E01001861,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999949,0,0,0,0,0,0
E01001863,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.107763609,0.892236339,0,0,0,0,0
E01001897,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.604370489,0,0.39562952,0,0,0
E01001927,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.99686227,0.003137718,0,0,0,0,0
E01001938,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.609363769,0,0.39063625,0,0,0
E01001954,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.853869895,0.14613011,0,0,0,0,0
E01001979,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.049912166,0.950087838,0,0,0,0,0
E01001983,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999732549,0.000267419,0,0,0,0,0
E01001984,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999972,0,0,0,0,0,0
E01002000,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.23549032,0.764509663,0,0,0,0,0
E01002016,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.601428056,0.398571932,0,0,0,0,0
E01002023,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.111474389,0,0.888525604,0,0,0,0,0,0
E01002029,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.910867111,0.089132912,0,0,0,0,0
E01002080,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.681197968,0.31880204,0,0,0,0,0
E01002099,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999958,0,0,0,0,0,0
E01002110,ACS,Accessible suburbia,0,0.621996188,0,0,0,0,0,0,0,0.378003816,0,0,0,0,0,0,0
E01002127,WAL,Warehouse/Park land,0,0,0,0,0.433216178,0,0,0,0.156443817,0.410339997,0,0,0,0,0,0,0
E01002164,CRN,Connected residential neighbourhoods,0,0.083114259,0,0,0,0,0,0,0.434979196,0.481906536,0,0,0,0,0,0,0
E01002216,GRQ,Gridded residential quarters,0,0,0,0,0,0.83938268,0,0.062488228,0.052338494,0.045790582,0,0,0,0,0,0,0
E01002219,DIS,Disconnected suburbia,0,0,0,0,0,0,0,0.996042303,0,0.003957747,0,0,0,0,0,0,0
E01002231,ACS,Accessible suburbia,0,0.994848157,0,0,0,0,0,0,0,0.005151865,0,0,0,0,0,0,0
E01002233,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.116151453,0.866243261,0.017605246,0,0,0,0,0,0
E01002246,OPS,Open sprawl,0,0,0.759427285,0,0.097524294,0,0,0,0.143048394,0,0,0,0,0,0,0,0
E01002291,ACS,Accessible suburbia,0,1.000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01002302,ACS,Accessible suburbia,0,0.963943651,0.034348005,0,0.001708344,0,0,0,0,0,0,0,0,0,0,0,0
E01002307,ACS,Accessible suburbia,0,0.639186283,0.019050977,0,0,0,0.341762773,0,0,0,0,0,0,0,0,0,0
E01002315,DIS,Disconnected suburbia,0,0.059989934,0.00304815,0,0.261474393,0,0,0.67548753,0,0,0,0,0,0,0,0,0
E01002322,OPS,Open sprawl,0,0.490509432,0.509490546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01002346,DIS,Disconnected suburbia,0,0.230950572,0.289256714,0,0.098568399,0,0.082969091,0.298255215,0,0,0,0,0,0,0,0,0
E01002377,ACS,Accessible suburbia,0,0.37903009,0.271462068,0,0,0,0,0.34950782,0,0,0,0,0,0,0,0,0
E01002417,CRN,Connected residential neighbourhoods,0,0.401208396,0,0,0,0,0,0,0,0.598791607,0,0,0,0,0,0,0
E01002428,OPS,Open sprawl,0,0.379379532,0.538354938,0,0.061580599,0,0.020684931,0,0,0,0,0,0,0,0,0,0
E01002431,ACS,Accessible suburbia,0,0.759997365,0,0,0,0,0,0,0,0.240002671,0,0,0,0,0,0,0
E01002435,ACS,Accessible suburbia,0,0.844123404,0,0,0,0,0,0,0,0.155876603,0,0,0,0,0,0,0
E01002456,ACS,Accessible suburbia,0,0.525241821,0.461872087,0,0,0,0,0,0.012886085,0,0,0,0,0,0,0,0
E01002471,CRN,Connected residential neighbourhoods,0,0.154618376,0,0,0,0.000541064,0,0,0,0.844840579,0,0,0,0,0,0,0
E01002496,WAL,Warehouse/Park land,0,0.325006906,0,0,0.607798258,0,0,0,0,0.067194824,0,0,0,0,0,0,0
E01002502,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0.057820767,0.035426723,0.906752527,0,0,0,0,0,0,0
E01002504,DIS,Disconnected suburbia,0,0.008605948,0.075229023,0,0,0,0,0.860269015,0.052221563,0.003674447,0,0,0,0,0,0,0
E01002523,DRN,Dense residential neighbourhoods,0,0,0.154088041,0,0,0,0,0,0.845911979,0,0,0,0,0,0,0,0
E01002548,WAL,Warehouse/Park land,0,0.011205606,0.186912129,0,0.58807587,0,0,0,0.213600102,0.000206297,0,0,0,0,0,0,0
E01002567,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.944575585,0.055424386,0,0,0,0,0
E01002593,CRN,Connected residential neighbourhoods,0,0.311769752,0,0,0,0,0,0.234584087,0.001005931,0.452640252,0,0,0,0,0,0,0
E01002627,OPS,Open sprawl,0,0,0.533371951,0,0.466628034,0,0,0,0,0,0,0,0,0,0,0,0
E01002628,OPS,Open sprawl,0,0.067455312,0.906836098,0,0,0,0,0,0.025708597,0,0,0,0,0,0,0,0
E01002649,CRN,Connected residential neighbourhoods,0,0.33137977,0,0,0,0,0,0,0.186654086,0.454017751,0.027948398,0,0,0,0,0,0
E01002711,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000047,0,0,0
E01002777,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000031,0,0,0,0,0
E01002808,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000044,0,0,0,0,0
E01002823,MEU,Metropolitan urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165627121,0,0.834372905,0
E01002834,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999983,0,0,0
E01002866,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.976657976,0,0.023342,0,0,0
E01002867,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0.434051331,0,0.56594867,0,0,0
E01002875,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0.00734746,0,0.992652589,0,0,0
E01002895,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001,0,0,0
E01002925,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.123319696,0.876680281,0,0,0,0,0,0,0
E01002928,DRN,Dense residential neighbourhoods,0,0.257309347,0,0,0,0,0,0,0.618813789,0.123876859,0,0,0,0,0,0,0
E01002934,CRN,Connected residential neighbourhoods,0,0.000158683,0,0,0,0,0,0,0.013727614,0.948762386,0.037351295,0,0,0,0,0,0
E01002940,CRN,Connected residential neighbourhoods,0,0.339804528,0.045202883,0,0,0,0,0.006123883,0.108531552,0.500337154,0,0,0,0,0,0,0
E01002942,CRN,Connected residential neighbourhoods,0,0.198199729,0.076934934,0,0,0,0,0.006063381,0,0.718801989,0,0,0,0,0,0,0
E01002958,DRN,Dense residential neighbourhoods,0,0.00478609,0,0,0,0,0,0.056168029,0.939045809,0,0,0,0,0,0,0,0
E01002989,DRN,Dense residential neighbourhoods,0,0,0,0,0.033320544,0,0,0,0.525186588,0.425654164,0.015838734,0,0,0,0,0,0
E01002998,DRN,Dense residential neighbourhoods,0,0.345806498,0,0,0,0,0,0,0.478061834,0.176131696,0,0,0,0,0,0,0
E01003036,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.999999989,0,0,0,0,0
E01003039,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.00000004,0,0,0,0,0
E01003040,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.003766187,0.996233811,0,0,0,0,0
E01003056,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.999999996,0,0,0,0,0
E01003057,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000013,0,0,0,0,0
E01003085,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.999999984,0,0,0,0,0,0,0,0
E01003093,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,1.000000025,0,0,0,0,0
E01003135,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,1.00000002,0,0,0,0,0,0
E01003149,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.55566353,0.444336478,0,0,0,0,0,0,0
E01003162,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999973,0,0,0,0,0,0
E01003163,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.983625285,0.016374706,0,0,0,0,0
E01003186,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.999999972,0,0,0,0,0
E01003189,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.99999999,0,0,0,0,0,0,0
E01003206,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.71300216,0,0.286997846,0,0,0,0,0,0
E01003210,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0.015196631,0.984803388,0,0,0,0,0,0
E01003237,DUN,Dense urban neighbourhoods,0,0,0,0,0.012361753,0,0,0,0.076195391,0.005925169,0.905517706,0,0,0,0,0,0
E01003260,CRN,Connected residential neighbourhoods,0,0.021790215,0,0,0,0,0,0.216689665,0,0.761520117,0,0,0,0,0,0,0
E01003319,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,1.000000033,0,0,0,0,0,0
E01003355,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.038878078,0,0.961121878,0,0,0,0,0,0
E01003376,DRN,Dense residential neighbourhoods,0,0,0,0,0.007324406,0,0,0.111370626,0.879719426,0,0.001585535,0,0,0,0,0,0
E01003390,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.518519179,0,0.481480767,0,0,0,0,0,0
E01003391,DIS,Disconnected suburbia,0,0,0,0,0,0,0,1.000000034,0,0,0,0,0,0,0,0,0
E01003403,DIS,Disconnected suburbia,0,0,0,0,0.039412879,0,0,0.783801993,0,0.168549616,0.00823551,0,0,0,0,0,0
E01003405,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0.367744979,0.209026316,0,0.423228715,0,0,0,0,0,0
E01003422,DIS,Disconnected suburbia,0,0,0.019342315,0,0,0.057145888,0,0.923511793,0,0,0,0,0,0,0,0,0
E01003445,WAL,Warehouse/Park land,0,0.216360179,0,0,0.630917906,0,0,0,0.147424267,0.005297665,0,0,0,0,0,0,0
E01003450,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.068244344,0.504984762,0.426770879,0,0,0,0,0,0
E01003469,DRN,Dense residential neighbourhoods,0,0,0,0,0.010362168,0,0,0,0.88891187,0.085339539,0.015386404,0,0,0,0,0,0
E01003476,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0.113260167,0.886739812,0,0,0,0,0,0
E01003502,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.754738083,0.245261899,0,0,0,0,0
E01003579,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999986,0,0,0,0,0,0
E01003597,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,1.000000004,0,0,0,0,0,0
E01003608,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.853910387,0.146089617,0,0,0,0,0
E01003618,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0.498771376,0.501228598,0,0,0,0,0
E01003649,CRN,Connected residential neighbourhoods,0,0.005722734,0,0,0,0,0,0,0,0.994277304,0,0,0,0,0,0,0
E01003673,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,1.000000034,0,0,0,0,0,0,0,0
E01003678,CRN,Connected residential neighbourhoods,0,0.13031376,0,0,0,0,0,0,0,0.869686263,0,0,0,0,0,0,0
E01003719,DRN,Dense residential neighbourhoods,0,0,0,0,0,0,0,0,0.570642716,0.379204675,0.050152605,0,0,0,0,0,0
E01003732,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.999999995,0,0,0,0,0,0
E01003781,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.709527485,0.290472503,0,0,0,0,0,0
E01003819,WAL,Warehouse/Park land,0,0,0,0,0.995847094,0,0,0.004152906,0,0,0,0,0,0,0,0,0
E01003851,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.028055858,0.073178285,0.898765845,0,0,0,0,0,0
E01003887,DRN,Dense residential neighbourhoods,0,0,0,0,0.001909803,0,0,0.086528663,0.911561542,0,0,0,0,0,0,0,0
E01003899,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0.044311963,0,0.955688038,0,0,0,0,0,0,0
E01003907,ACS,Accessible suburbia,0,0.77570314,0.175825901,0,0.048470928,0,0,0,0,0,0,0,0,0,0,0,0
E01003924,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.999999978,0,0,0,0,0
E01003933,REU,Regional urbanity,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000015,0,0,0
E01003946,DRN,Dense residential neighbourhoods,0,0,0,0,0.392826304,0,0,0,0.602733451,0,0.00444023,0,0,0,0,0,0
E01003960,LOU,Local urbanity,0,0,0,0,0,0,0,0,0,0,0,0.975430557,0,0.02456944,0,0,0
